transaction_id,total,at,payment_method,truck_name,truck_description,has_card_reader,fsa_rating
49,700.0,2025-10-19 12:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
50,700.0,2025-10-19 12:29:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
53,830.0,2025-10-19 12:31:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
54,700.0,2025-10-19 12:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
59,700.0,2025-10-19 12:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
61,700.0,2025-10-19 12:42:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
65,700.0,2025-10-19 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
67,700.0,2025-10-19 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
68,1000.0,2025-10-19 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
69,700.0,2025-10-19 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
70,700.0,2025-10-19 12:48:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
72,700.0,2025-10-19 12:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
73,1070.0,2025-10-19 12:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
75,880.0,2025-10-19 12:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
79,810.0,2025-10-19 12:57:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
80,700.0,2025-10-19 12:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
81,700.0,2025-10-19 13:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
83,990.0,2025-10-19 13:01:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
84,900.0,2025-10-19 13:01:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
86,700.0,2025-10-19 13:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
88,700.0,2025-10-19 13:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
92,700.0,2025-10-19 13:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
93,850.0,2025-10-19 13:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
95,1090.0,2025-10-19 13:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
96,700.0,2025-10-19 13:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
97,700.0,2025-10-19 13:07:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
100,700.0,2025-10-19 13:09:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
103,890.0,2025-10-19 13:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
105,700.0,2025-10-19 13:13:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
108,700.0,2025-10-19 13:15:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
111,700.0,2025-10-19 13:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
113,700.0,2025-10-19 13:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
114,700.0,2025-10-19 13:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
115,700.0,2025-10-19 13:19:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
116,830.0,2025-10-19 13:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
117,700.0,2025-10-19 13:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
118,700.0,2025-10-19 13:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
120,700.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
122,700.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
124,700.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
126,700.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
127,1080.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
128,700.0,2025-10-19 13:23:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
131,700.0,2025-10-19 13:25:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
132,700.0,2025-10-19 13:25:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
133,700.0,2025-10-19 13:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
134,700.0,2025-10-19 13:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
137,950.0,2025-10-19 13:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
138,700.0,2025-10-19 13:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
141,700.0,2025-10-19 13:30:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
143,700.0,2025-10-19 13:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
146,850.0,2025-10-19 13:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
147,700.0,2025-10-19 13:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
148,700.0,2025-10-19 13:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
150,700.0,2025-10-19 13:37:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
160,1090.0,2025-10-19 13:44:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
166,850.0,2025-10-19 13:45:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
167,700.0,2025-10-19 13:45:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
172,700.0,2025-10-19 13:48:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
173,1100.0,2025-10-19 13:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
176,700.0,2025-10-19 13:50:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
177,700.0,2025-10-19 13:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
178,850.0,2025-10-19 13:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
180,700.0,2025-10-19 13:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
182,910.0,2025-10-19 13:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
183,700.0,2025-10-19 13:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
184,700.0,2025-10-19 13:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
187,1050.0,2025-10-19 13:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
189,700.0,2025-10-19 13:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
192,700.0,2025-10-19 13:58:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
193,880.0,2025-10-19 13:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
194,700.0,2025-10-19 14:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
195,700.0,2025-10-19 14:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
196,980.0,2025-10-19 14:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
198,700.0,2025-10-19 14:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
201,980.0,2025-10-19 14:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
205,880.0,2025-10-19 14:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
206,700.0,2025-10-19 14:07:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
208,700.0,2025-10-19 14:09:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
209,700.0,2025-10-19 14:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
210,700.0,2025-10-19 14:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
211,850.0,2025-10-19 14:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
218,700.0,2025-10-19 14:13:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
221,700.0,2025-10-19 14:14:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
223,910.0,2025-10-19 14:15:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
225,700.0,2025-10-19 14:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
226,940.0,2025-10-19 14:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
227,700.0,2025-10-19 14:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
229,840.0,2025-10-19 14:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
230,700.0,2025-10-19 14:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
235,969.0,2025-10-19 14:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
238,700.0,2025-10-19 14:25:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
240,700.0,2025-10-19 14:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
242,700.0,2025-10-19 14:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
243,1080.0,2025-10-19 14:29:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
245,700.0,2025-10-19 14:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
246,700.0,2025-10-19 14:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
247,850.0,2025-10-19 14:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
248,1000.0,2025-10-19 14:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
249,700.0,2025-10-19 14:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
250,700.0,2025-10-19 14:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
251,700.0,2025-10-19 14:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
252,700.0,2025-10-19 14:37:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
253,1010.0,2025-10-19 14:37:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
256,819.0,2025-10-19 14:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
257,700.0,2025-10-19 14:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
258,700.0,2025-10-19 14:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
259,700.0,2025-10-19 14:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
260,700.0,2025-10-19 14:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
261,700.0,2025-10-19 14:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
264,700.0,2025-10-19 14:42:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
265,1090.0,2025-10-19 14:42:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
268,700.0,2025-10-19 14:44:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
270,700.0,2025-10-19 14:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
274,869.0,2025-10-19 14:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
275,700.0,2025-10-19 14:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
277,700.0,2025-10-19 14:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
278,700.0,2025-10-19 14:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
282,700.0,2025-10-19 14:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
283,700.0,2025-10-19 14:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
285,990.0,2025-10-19 14:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
287,700.0,2025-10-19 14:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
289,700.0,2025-10-19 14:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
290,869.0,2025-10-19 14:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
291,900.0,2025-10-19 14:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
296,819.0,2025-10-19 14:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
297,1090.0,2025-10-19 14:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
299,960.0,2025-10-19 14:58:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
302,700.0,2025-10-19 15:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
303,700.0,2025-10-19 15:09:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
304,700.0,2025-10-19 15:15:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
305,700.0,2025-10-19 15:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
310,1090.0,2025-10-19 15:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
311,700.0,2025-10-19 15:58:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
312,910.0,2025-10-19 16:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
313,700.0,2025-10-19 16:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
317,700.0,2025-10-19 16:37:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
318,810.0,2025-10-19 16:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
320,700.0,2025-10-19 16:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
323,850.0,2025-10-19 17:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
324,700.0,2025-10-19 18:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
325,980.0,2025-10-19 18:07:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
326,700.0,2025-10-19 18:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
331,850.0,2025-10-19 18:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
332,700.0,2025-10-19 18:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
335,700.0,2025-10-20 09:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
337,860.0,2025-10-20 10:14:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
338,700.0,2025-10-20 10:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
341,700.0,2025-10-20 10:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
347,700.0,2025-10-20 11:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
355,700.0,2025-10-20 12:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
357,850.0,2025-10-20 12:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
361,700.0,2025-10-20 12:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
365,700.0,2025-10-20 12:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
374,700.0,2025-10-20 12:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
376,830.0,2025-10-20 13:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
379,700.0,2025-10-20 13:07:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
380,960.0,2025-10-20 13:08:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
386,700.0,2025-10-20 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
388,700.0,2025-10-20 13:24:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
390,700.0,2025-10-20 13:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
392,700.0,2025-10-20 13:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
398,1070.0,2025-10-20 13:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
399,700.0,2025-10-20 13:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
401,700.0,2025-10-20 13:38:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
405,1000.0,2025-10-20 13:45:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
406,700.0,2025-10-20 13:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
408,1080.0,2025-10-20 13:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
410,700.0,2025-10-20 13:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
415,700.0,2025-10-20 14:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
423,700.0,2025-10-20 14:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
427,840.0,2025-10-20 14:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
430,930.0,2025-10-20 14:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
431,840.0,2025-10-20 14:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
432,700.0,2025-10-20 14:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
436,700.0,2025-10-20 14:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
439,700.0,2025-10-20 14:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
445,940.0,2025-10-20 14:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
448,840.0,2025-10-20 14:50:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
452,900.0,2025-10-20 15:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
453,700.0,2025-10-20 15:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
458,700.0,2025-10-20 15:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
474,700.0,2025-10-20 18:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
480,810.0,2025-10-21 09:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
482,700.0,2025-10-21 10:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
483,900.0,2025-10-21 10:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
485,1010.0,2025-10-21 10:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
486,700.0,2025-10-21 10:57:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
487,700.0,2025-10-21 11:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
488,700.0,2025-10-21 11:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
489,830.0,2025-10-21 11:30:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
490,700.0,2025-10-21 11:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
491,700.0,2025-10-21 11:38:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
492,700.0,2025-10-21 11:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
494,1030.0,2025-10-21 11:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
495,700.0,2025-10-21 12:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
496,700.0,2025-10-21 12:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
497,700.0,2025-10-21 12:15:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
498,1060.0,2025-10-21 12:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
499,700.0,2025-10-21 12:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
500,700.0,2025-10-21 12:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
501,880.0,2025-10-21 12:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
502,700.0,2025-10-21 12:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
503,940.0,2025-10-21 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
504,700.0,2025-10-21 12:50:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
506,700.0,2025-10-21 12:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
507,700.0,2025-10-21 13:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
508,700.0,2025-10-21 13:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
509,700.0,2025-10-21 13:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
511,700.0,2025-10-21 13:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
512,700.0,2025-10-21 13:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
515,700.0,2025-10-21 13:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
516,819.0,2025-10-21 13:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
517,800.0,2025-10-21 13:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
518,900.0,2025-10-21 13:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
519,700.0,2025-10-21 13:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
521,700.0,2025-10-21 13:44:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
523,700.0,2025-10-21 13:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
524,869.0,2025-10-21 13:57:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
525,700.0,2025-10-21 13:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
527,700.0,2025-10-21 14:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
528,1060.0,2025-10-21 14:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
530,700.0,2025-10-21 14:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
532,1070.0,2025-10-21 14:30:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
533,700.0,2025-10-21 14:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
535,1010.0,2025-10-21 14:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
536,700.0,2025-10-21 14:45:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
538,700.0,2025-10-21 14:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
539,700.0,2025-10-21 14:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
540,700.0,2025-10-21 14:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
541,700.0,2025-10-21 15:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
543,700.0,2025-10-21 15:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
545,700.0,2025-10-21 15:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
546,700.0,2025-10-21 15:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
550,700.0,2025-10-21 16:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
552,700.0,2025-10-21 16:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
553,700.0,2025-10-21 17:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
555,1080.0,2025-10-21 17:24:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
556,910.0,2025-10-21 17:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
557,819.0,2025-10-21 17:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
559,1030.0,2025-10-21 18:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
560,900.0,2025-10-21 18:19:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
562,700.0,2025-10-21 18:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
563,700.0,2025-10-21 18:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
567,700.0,2025-10-22 09:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
568,700.0,2025-10-22 09:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
569,860.0,2025-10-22 09:25:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
572,960.0,2025-10-22 10:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
573,700.0,2025-10-22 10:14:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
574,980.0,2025-10-22 10:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
578,700.0,2025-10-22 10:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
579,1000.0,2025-10-22 10:58:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
580,700.0,2025-10-22 11:01:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
581,700.0,2025-10-22 11:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
582,1060.0,2025-10-22 11:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
583,700.0,2025-10-22 11:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
584,700.0,2025-10-22 11:23:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
587,700.0,2025-10-22 11:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
589,700.0,2025-10-22 11:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
590,700.0,2025-10-22 11:57:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
591,700.0,2025-10-22 12:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
592,1070.0,2025-10-22 12:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
595,700.0,2025-10-22 12:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
596,700.0,2025-10-22 12:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
597,1080.0,2025-10-22 12:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
598,700.0,2025-10-22 12:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
599,700.0,2025-10-22 12:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
604,700.0,2025-10-22 12:13:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
605,700.0,2025-10-22 12:13:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
610,950.0,2025-10-22 12:15:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
611,700.0,2025-10-22 12:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
614,700.0,2025-10-22 12:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
615,900.0,2025-10-22 12:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
617,700.0,2025-10-22 12:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
618,1000.0,2025-10-22 12:19:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
619,700.0,2025-10-22 12:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
621,700.0,2025-10-22 12:24:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
