,transaction_id,total,at,payment_method,truck_name,truck_description,has_card_reader,fsa_rating
24,47,950.0,2025-10-19 12:24:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
25,49,700.0,2025-10-19 12:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
26,50,700.0,2025-10-19 12:29:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
27,53,830.0,2025-10-19 12:31:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
28,54,700.0,2025-10-19 12:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
29,59,700.0,2025-10-19 12:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
30,61,700.0,2025-10-19 12:42:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
31,65,700.0,2025-10-19 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
32,67,700.0,2025-10-19 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
33,68,1000.0,2025-10-19 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
34,69,700.0,2025-10-19 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
35,70,700.0,2025-10-19 12:48:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
36,72,700.0,2025-10-19 12:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
37,73,1070.0,2025-10-19 12:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
38,75,880.0,2025-10-19 12:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
39,79,810.0,2025-10-19 12:57:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
40,80,700.0,2025-10-19 12:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
41,81,700.0,2025-10-19 13:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
42,83,990.0,2025-10-19 13:01:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
43,84,900.0,2025-10-19 13:01:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
44,86,700.0,2025-10-19 13:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
45,88,700.0,2025-10-19 13:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
46,92,700.0,2025-10-19 13:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
47,93,850.0,2025-10-19 13:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
48,95,1090.0,2025-10-19 13:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
49,96,700.0,2025-10-19 13:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
50,97,700.0,2025-10-19 13:07:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
51,100,700.0,2025-10-19 13:09:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
52,103,890.0,2025-10-19 13:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
53,105,700.0,2025-10-19 13:13:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
54,108,700.0,2025-10-19 13:15:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
55,111,700.0,2025-10-19 13:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
56,113,700.0,2025-10-19 13:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
57,114,700.0,2025-10-19 13:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
58,115,700.0,2025-10-19 13:19:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
59,116,830.0,2025-10-19 13:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
60,117,700.0,2025-10-19 13:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
61,118,700.0,2025-10-19 13:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
62,120,700.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
63,122,700.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
64,124,700.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
65,126,700.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
66,127,1080.0,2025-10-19 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
67,128,700.0,2025-10-19 13:23:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
68,131,700.0,2025-10-19 13:25:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
69,132,700.0,2025-10-19 13:25:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
70,133,700.0,2025-10-19 13:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
71,134,700.0,2025-10-19 13:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
72,137,950.0,2025-10-19 13:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
73,138,700.0,2025-10-19 13:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
74,141,700.0,2025-10-19 13:30:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
75,143,700.0,2025-10-19 13:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
76,146,850.0,2025-10-19 13:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
77,147,700.0,2025-10-19 13:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
78,148,700.0,2025-10-19 13:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
79,150,700.0,2025-10-19 13:37:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
80,160,1090.0,2025-10-19 13:44:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
81,166,850.0,2025-10-19 13:45:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
82,167,700.0,2025-10-19 13:45:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
83,172,700.0,2025-10-19 13:48:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
84,173,1100.0,2025-10-19 13:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
85,176,700.0,2025-10-19 13:50:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
86,177,700.0,2025-10-19 13:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
87,178,850.0,2025-10-19 13:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
88,180,700.0,2025-10-19 13:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
89,182,910.0,2025-10-19 13:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
90,183,700.0,2025-10-19 13:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
91,184,700.0,2025-10-19 13:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
92,187,1050.0,2025-10-19 13:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
93,189,700.0,2025-10-19 13:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
94,192,700.0,2025-10-19 13:58:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
95,193,880.0,2025-10-19 13:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
96,194,700.0,2025-10-19 14:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
97,195,700.0,2025-10-19 14:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
98,196,980.0,2025-10-19 14:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
99,198,700.0,2025-10-19 14:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
100,201,980.0,2025-10-19 14:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
101,205,880.0,2025-10-19 14:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
102,206,700.0,2025-10-19 14:07:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
103,208,700.0,2025-10-19 14:09:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
104,209,700.0,2025-10-19 14:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
105,210,700.0,2025-10-19 14:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
106,211,850.0,2025-10-19 14:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
107,218,700.0,2025-10-19 14:13:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
108,221,700.0,2025-10-19 14:14:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
109,223,910.0,2025-10-19 14:15:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
110,225,700.0,2025-10-19 14:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
111,226,940.0,2025-10-19 14:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
112,227,700.0,2025-10-19 14:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
113,229,840.0,2025-10-19 14:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
114,230,700.0,2025-10-19 14:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
115,235,969.0,2025-10-19 14:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
116,238,700.0,2025-10-19 14:25:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
117,240,700.0,2025-10-19 14:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
118,242,700.0,2025-10-19 14:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
119,243,1080.0,2025-10-19 14:29:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
120,245,700.0,2025-10-19 14:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
121,246,700.0,2025-10-19 14:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
122,247,850.0,2025-10-19 14:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
123,248,1000.0,2025-10-19 14:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
124,249,700.0,2025-10-19 14:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
125,250,700.0,2025-10-19 14:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
126,251,700.0,2025-10-19 14:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
127,252,700.0,2025-10-19 14:37:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
128,253,1010.0,2025-10-19 14:37:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
129,256,819.0,2025-10-19 14:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
130,257,700.0,2025-10-19 14:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
131,258,700.0,2025-10-19 14:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
132,259,700.0,2025-10-19 14:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
133,260,700.0,2025-10-19 14:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
134,261,700.0,2025-10-19 14:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
135,264,700.0,2025-10-19 14:42:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
136,265,1090.0,2025-10-19 14:42:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
137,268,700.0,2025-10-19 14:44:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
138,270,700.0,2025-10-19 14:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
139,274,869.0,2025-10-19 14:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
140,275,700.0,2025-10-19 14:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
141,277,700.0,2025-10-19 14:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
142,278,700.0,2025-10-19 14:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
143,282,700.0,2025-10-19 14:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
144,283,700.0,2025-10-19 14:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
145,285,990.0,2025-10-19 14:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
146,287,700.0,2025-10-19 14:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
147,289,700.0,2025-10-19 14:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
148,290,869.0,2025-10-19 14:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
149,291,900.0,2025-10-19 14:52:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
150,296,819.0,2025-10-19 14:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
151,297,1090.0,2025-10-19 14:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
152,299,960.0,2025-10-19 14:58:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
153,302,700.0,2025-10-19 15:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
154,303,700.0,2025-10-19 15:09:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
155,304,700.0,2025-10-19 15:15:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
156,305,700.0,2025-10-19 15:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
157,310,1090.0,2025-10-19 15:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
158,311,700.0,2025-10-19 15:58:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
159,312,910.0,2025-10-19 16:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
160,313,700.0,2025-10-19 16:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
161,317,700.0,2025-10-19 16:37:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
162,318,810.0,2025-10-19 16:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
163,320,700.0,2025-10-19 16:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
164,323,850.0,2025-10-19 17:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
165,324,700.0,2025-10-19 18:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
166,325,980.0,2025-10-19 18:07:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
167,326,700.0,2025-10-19 18:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
168,331,850.0,2025-10-19 18:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
169,332,700.0,2025-10-19 18:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
170,335,700.0,2025-10-20 09:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
171,337,860.0,2025-10-20 10:14:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
172,338,700.0,2025-10-20 10:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
173,341,700.0,2025-10-20 10:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
174,347,700.0,2025-10-20 11:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
175,355,700.0,2025-10-20 12:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
176,357,850.0,2025-10-20 12:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
177,361,700.0,2025-10-20 12:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
178,365,700.0,2025-10-20 12:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
179,374,700.0,2025-10-20 12:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
180,376,830.0,2025-10-20 13:03:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
181,379,700.0,2025-10-20 13:07:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
182,380,960.0,2025-10-20 13:08:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
183,386,700.0,2025-10-20 13:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
184,388,700.0,2025-10-20 13:24:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
185,390,700.0,2025-10-20 13:26:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
186,392,700.0,2025-10-20 13:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
187,398,1070.0,2025-10-20 13:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
188,399,700.0,2025-10-20 13:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
189,401,700.0,2025-10-20 13:38:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
190,405,1000.0,2025-10-20 13:45:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
191,406,700.0,2025-10-20 13:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
192,408,1080.0,2025-10-20 13:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
193,410,700.0,2025-10-20 13:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
194,415,700.0,2025-10-20 14:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
195,423,700.0,2025-10-20 14:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
196,427,840.0,2025-10-20 14:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
197,430,930.0,2025-10-20 14:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
198,431,840.0,2025-10-20 14:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
199,432,700.0,2025-10-20 14:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
200,436,700.0,2025-10-20 14:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
201,439,700.0,2025-10-20 14:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
202,445,940.0,2025-10-20 14:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
203,448,840.0,2025-10-20 14:50:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
204,452,900.0,2025-10-20 15:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
205,453,700.0,2025-10-20 15:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
206,458,700.0,2025-10-20 15:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
207,474,700.0,2025-10-20 18:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
208,480,810.0,2025-10-21 09:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
209,482,700.0,2025-10-21 10:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
210,483,900.0,2025-10-21 10:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
211,485,1010.0,2025-10-21 10:51:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
212,486,700.0,2025-10-21 10:57:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
213,487,700.0,2025-10-21 11:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
214,488,700.0,2025-10-21 11:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
215,489,830.0,2025-10-21 11:30:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
216,490,700.0,2025-10-21 11:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
217,491,700.0,2025-10-21 11:38:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
218,492,700.0,2025-10-21 11:47:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
219,494,1030.0,2025-10-21 11:53:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
220,495,700.0,2025-10-21 12:06:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
221,496,700.0,2025-10-21 12:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
222,497,700.0,2025-10-21 12:15:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
223,498,1060.0,2025-10-21 12:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
224,499,700.0,2025-10-21 12:27:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
225,500,700.0,2025-10-21 12:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
226,501,880.0,2025-10-21 12:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
227,502,700.0,2025-10-21 12:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
228,503,940.0,2025-10-21 12:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
229,504,700.0,2025-10-21 12:50:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
230,506,700.0,2025-10-21 12:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
231,507,700.0,2025-10-21 13:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
232,508,700.0,2025-10-21 13:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
233,509,700.0,2025-10-21 13:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
234,511,700.0,2025-10-21 13:17:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
235,512,700.0,2025-10-21 13:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
236,515,700.0,2025-10-21 13:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
237,516,819.0,2025-10-21 13:33:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
238,517,800.0,2025-10-21 13:35:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
239,518,900.0,2025-10-21 13:36:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
240,519,700.0,2025-10-21 13:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
241,521,700.0,2025-10-21 13:44:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
242,523,700.0,2025-10-21 13:55:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
243,524,869.0,2025-10-21 13:57:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
244,525,700.0,2025-10-21 13:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
245,527,700.0,2025-10-21 14:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
246,528,1060.0,2025-10-21 14:12:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
247,530,700.0,2025-10-21 14:20:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
248,532,1070.0,2025-10-21 14:30:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
249,533,700.0,2025-10-21 14:34:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
250,535,1010.0,2025-10-21 14:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
251,536,700.0,2025-10-21 14:45:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
252,538,700.0,2025-10-21 14:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
253,539,700.0,2025-10-21 14:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
254,540,700.0,2025-10-21 14:59:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
255,541,700.0,2025-10-21 15:21:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
256,543,700.0,2025-10-21 15:39:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
257,545,700.0,2025-10-21 15:41:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
258,546,700.0,2025-10-21 15:56:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
259,550,700.0,2025-10-21 16:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
260,552,700.0,2025-10-21 16:54:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
261,553,700.0,2025-10-21 17:02:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
262,555,1080.0,2025-10-21 17:24:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
263,556,910.0,2025-10-21 17:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
264,557,819.0,2025-10-21 17:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
265,559,1030.0,2025-10-21 18:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
266,560,900.0,2025-10-21 18:19:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
267,562,700.0,2025-10-21 18:32:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
268,563,700.0,2025-10-21 18:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
269,567,700.0,2025-10-22 09:18:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
270,568,700.0,2025-10-22 09:22:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
271,569,860.0,2025-10-22 09:25:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
272,572,960.0,2025-10-22 10:10:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
273,573,700.0,2025-10-22 10:14:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
274,574,980.0,2025-10-22 10:28:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
275,578,700.0,2025-10-22 10:46:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
276,579,1000.0,2025-10-22 10:58:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
277,580,700.0,2025-10-22 11:01:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
278,581,700.0,2025-10-22 11:05:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
279,582,1060.0,2025-10-22 11:11:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
280,583,700.0,2025-10-22 11:16:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
281,584,700.0,2025-10-22 11:23:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
282,587,700.0,2025-10-22 11:40:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
283,589,700.0,2025-10-22 11:49:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
284,590,700.0,2025-10-22 11:57:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
285,591,700.0,2025-10-22 12:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
286,592,1070.0,2025-10-22 12:00:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
287,595,700.0,2025-10-22 12:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
288,596,700.0,2025-10-22 12:04:00,card,Burrito Madness,An authentic taste of Mexico.,1,4
